p.year,AVG(outgoingCitationCount),AVG(incomingCitationCount)
-1,0,0
0,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0.013698630136986302,0.5616438356164384
1955,0.01492537313432836,0.11940298507462688
1956,0.027586206896551738,0.593103448275862
1957,0.08461538461538468,0.8999999999999999
1958,0.03529411764705884,1.0999999999999994
1959,0.09763313609467461,1.488165680473373
1960,0.17000000000000007,4.956666666666668
1961,0.2546201232032854,1.7987679671457908
1962,0.18692810457516335,2.7333333333333383
1963,0.35284552845528433,2.056910569105691
1964,0.45128205128205173,2.369230769230769
1965,0.4342465753424657,3.580821917808222
1966,0.5756097560975603,3.2121951219512193
1967,0.5657657657657653,2.972072072072068
1968,0.6356033452807643,2.2048984468339317
1969,0.8931909212283051,3.0140186915887868
1970,0.8254545454545451,3.898787878787887
1971,0.7340082834790613,2.4832029452370032
1972,0.857767183154549,2.345649582836712
1973,0.8871363477041702,2.6708727655099893
1974,0.7860340196956134,3.145031333930184
1975,0.9336371404158372,3.318997436627745
1976,1.05255062804409,3.8815688285055088
1977,0.9238934056007228,2.811427280939478
1978,1.0432138979370205,3.576330076004352
1979,0.8624263361105482,5.416785206258884
1980,1.2025510204081595,2.639455782312938
1981,1.3630682705827244,3.038119043899388
1982,1.2511042698433987,2.9726944184178827
1983,1.230787704130649,3.0692843419788587
1984,0.9943318988138972,3.1225989293586496
1985,0.833804238143289,3.870332996972749
1986,0.8646543330087619,4.737179487179461
1987,0.9955795309807514,4.550460777702874
1988,1.0466056204610008,4.53924850015784
1989,1.1187676899629881,4.954822556063523
1990,1.1858540255831334,4.647949586155027
1991,1.2639957439842904,4.086757243411355
1992,1.3385928422864606,4.259771928566334
1993,1.3770200674835626,4.017906825312262
1994,1.3166082326970519,4.148837813271025
1995,1.4350202479441512,4.996546669647964
1996,1.446967254640078,5.203933127619361
1997,1.6630224276878804,5.4327689968971695
1998,1.6986041211660816,5.184293989174782
1999,2.064096916299517,4.804794984750926
2000,2.1082732147391683,4.697525055637672
2001,2.3358057711662488,4.637888960886799
2002,2.7949020040990176,4.760084925689972
2003,2.3374388734452047,3.8938173406651706
2004,2.3378700010056823,3.491896014213447
2005,3.245104069808993,3.583892425434533
2006,3.143648528273939,3.110221782976498
2007,3.0753392634152186,2.663021027525761
2008,2.918200498404229,2.3834761509203113
2009,3.538688379395718,2.112663298375593
2010,3.457349110228082,1.7370468663704592
2011,3.2448604416545144,1.4664723685685606
2012,3.324280487022031,6.077867887788087
2013,3.1041162227602364,0.776193212131166
2014,4.064738960981497,0.22427640794897594
2015,2.287978137625346,0.5177937247491337
2016,0.29816983747514164,0.2895313096409982