value,selfCitingPaperCount,paperCount,selfCitingDuplicatePaperCount,duplicatePaperCount
1,266382,3227112,13651,167674
2,228851,2637534,11574,133890
3,138454,1681630,6796,81558
4,67001,865628,3063,39133
5,28756,395669,1201,16336
6,12488,182430,484,7122
7,5525,89009,230,3351
8,2811,49236,97,1893
9,1547,29302,52,1148
10,905,18737,44,824
11,552,12476,19,604
12,392,8882,23,480
13,277,6565,17,397
14,198,4964,13,318
15,143,3829,12,278
16,87,2989,7,248
17,83,2450,7,229
18,67,2018,8,218
19,47,1698,6,202
20,39,1450,8,194
21,33,1231,6,182
22,23,1053,5,173
23,19,906,6,164
24,19,800,7,156
25,15,700,4,153
26,15,623,6,146
27,12,559,4,144
28,15,494,3,135
29,10,432,3,129
30,10,382,2,121
31,8,335,1,117
32,5,311,2,116
33,5,282,2,114
34,5,255,2,112
35,5,230,2,111
36,6,215,3,106
37,4,200,2,105
38,5,182,3,101
39,2,168,2,99
40,2,159,1,99
41,2,151,2,96
42,4,145,2,96
43,2,129,1,87
44,1,120,0,80
45,2,110,0,72
46,0,101,0,66
47,0,98,0,64
48,0,88,0,60
49,0,81,0,54
50,0,76,0,52
51,0,69,0,46
52,0,65,0,43
53,0,59,0,37
54,0,58,0,37
55,0,55,0,35
56,0,48,0,30
57,0,46,0,28
58,0,35,0,19
59,0,33,0,17
60,0,31,0,16
61,0,30,0,16
62,0,26,0,14
63,0,26,0,14
64,0,26,0,14
65,0,22,0,12
66,0,18,0,8
67,0,18,0,8
68,0,17,0,8
69,0,16,0,8
70,0,15,0,8
71,0,14,0,8
72,0,13,0,8
73,0,13,0,8
74,0,13,0,8
75,0,13,0,8
76,0,11,0,6
77,0,11,0,6
78,0,11,0,6
79,0,9,0,4
80,0,8,0,4
81,0,8,0,4
82,0,8,0,4
83,0,8,0,4
84,0,8,0,4
85,0,8,0,4
86,0,8,0,4
87,0,6,0,2
88,0,6,0,2
89,0,6,0,2
90,0,6,0,2
91,0,6,0,2
92,0,6,0,2
93,0,6,0,2
94,0,6,0,2
95,0,4,0,0
96,0,3,0,0
97,0,3,0,0
98,0,3,0,0
99,0,3,0,0
100,0,3,0,0
101,0,3,0,0
102,0,2,0,0
103,0,1,0,0
104,0,1,0,0
105,0,1,0,0
106,0,1,0,0
107,0,1,0,0
108,0,1,0,0
109,0,1,0,0
110,0,1,0,0
111,0,1,0,0
112,0,1,0,0
113,0,1,0,0
114,0,1,0,0
115,0,1,0,0
116,0,1,0,0
117,0,1,0,0
118,0,1,0,0
119,0,1,0,0